MatrixID1;MatrixID2;Afstand;Rijtijd
0;0;0;0
0;1;220;26
0;2;12549;878
0;3;9903;792
0;4;9903;792
0;5;10072;888
0;6;10529;854
0;7;7610;628
0;8;7700;616
0;9;7798;623
0;10;8356;679
0;11;8053;666
0;12;8004;657
0;13;7640;611
0;14;7890;638
0;15;7508;600
0;16;8222;679
0;17;10179;847
0;18;8741;791
0;19;9090;727
0;20;11408;941
0;21;9479;839
0;22;9114;773
0;23;9187;786
0;24;9333;812
0;25;8192;664
0;26;8192;664
0;27;8506;693
0;28;24989;1711
0;29;24989;1711
0;30;26316;1817
0;31;26396;1823
0;32;26400;1824
0;33;28720;2053
0;34;26832;1901
0;35;27595;2039
0;36;27595;2039
0;37;28361;2177
0;38;28262;2159
0;39;28694;2314
0;40;28694;2314
0;41;28694;2314
0;42;28694;2314
0;43;14170;1002
0;44;7643;596
0;45;7733;607
0;46;7823;618
0;47;7913;629
0;48;14899;991
0;49;5172;388
0;50;4582;529
0;51;4994;394
0;52;4030;343
0;53;8400;581
0;54;6651;611
0;55;6651;611
0;56;6651;611
0;57;6651;611
0;58;8036;637
0;59;6550;513
0;60;6006;460
0;61;5757;535
0;62;4713;385
0;63;6451;489
0;64;6478;493
0;65;6478;493
0;66;6478;493
0;67;6451;489
0;68;6573;502
0;69;6686;512
0;70;5745;436
0;71;5745;436
0;72;5691;431
0;73;5643;425
0;74;3595;302
0;75;3583;301
0;76;3583;301
0;77;3583;301
0;78;3583;301
0;79;3723;335
0;80;2747;234
0;81;2747;234
0;82;7780;590
0;83;7576;566
0;84;7717;583
0;85;7623;571
0;86;6337;455
0;87;7454;546
0;88;10443;835
0;89;8034;662
0;90;6823;533
0;91;8122;646
0;92;8169;654
0;93;7975;638
0;94;7975;638
0;95;7576;566
0;96;7702;589
0;97;7618;573
0;98;7597;570
0;99;7702;589
0;100;7702;589
0;101;7844;579
0;102;26759;1904
0;103;3788;324
0;104;3058;259
0;105;2914;247
0;106;2914;247
0;107;2914;247
0;108;3810;322
0;109;3841;326
0;110;4362;368
0;111;3830;321
0;112;3857;328
0;113;3857;328
0;114;1239;113
0;115;1239;113
0;116;1239;113
0;117;1239;113
0;118;3154;290
0;119;4645;373
0;120;12701;862
0;121;13341;902
0;122;13341;902
0;123;6918;511
0;124;5120;428
0;125;4276;363
0;126;6970;498
0;127;6252;473
0;128;6432;487
0;129;6432;487
0;130;9419;771
0;131;7913;629
0;132;8313;677
0;133;8713;725
0;134;9114;773
0;135;5925;452
0;136;5702;429
0;137;5702;429
0;138;5607;426
0;139;7233;525
0;140;7233;525
0;141;7233;525
0;142;7233;525
0;143;4952;400
0;144;4659;365
0;145;4659;365
0;146;4659;365
0;147;4659;365
0;148;4659;365
0;149;12687;918
0;150;9254;673
0;151;8548;613
0;152;6611;508
0;153;2905;247
0;154;14047;980
0;155;27238;2051
0;156;27010;2010
0;157;27922;2098
0;158;7784;590
0;159;9168;795
0;160;9477;762
0;161;4439;391
0;162;3671;308
0;163;3688;309
0;164;3643;306
0;165;6854;585
0;166;6476;484
0;167;42064;2161
0;168;43120;2230
0;169;43120;2230
0;170;43120;2230
0;171;43203;2236
0;172;41451;2162
0;173;43956;2341
0;174;43956;2341
0;175;43956;2341
0;176;43956;2341
0;177;37696;1958
0;178;36631;1841
0;179;34621;2003
0;180;37964;1926
0;181;37299;1896
0;182;37945;1902
0;183;37945;1902
0;184;38326;1949
0;185;38591;1944
0;186;38591;1944
0;187;38591;1944
0;188;38669;1950
0;189;39252;2000
0;190;39252;2000
0;191;39252;2000
0;192;41004;2140
0;193;41072;2146
0;194;40833;2127
0;195;40916;2146
0;196;40874;2141
0;197;40916;2146
0;198;41003;2156
0;199;40832;2135
0;200;40978;2148
0;201;37490;1905
0;202;37425;1897
0;203;37425;1897
0;204;39183;1983
0;205;39183;1983
0;206;39183;1983
0;207;39163;2050
0;208;39841;2023
0;209;39270;2040
0;210;39734;2016
0;211;36919;1857
0;212;36919;1857
0;213;37005;1864
0;214;43490;2315
0;215;43783;2368
0;216;44061;2371
0;217;43316;2284
0;218;36099;1792
0;219;36099;1792
0;220;36099;1792
0;221;36211;1805
0;222;36323;1819
0;223;36099;1792
0;224;36425;1825
0;225;36448;1829
0;226;36448;1829
0;227;36448;1829
0;228;36351;1829
0;229;36351;1829
0;230;36356;1829
0;231;36393;1834
0;232;36393;1834
0;233;37690;1922
0;234;38204;1981
0;235;38329;2053
0;236;36520;1849
0;237;39019;2055
0;238;39019;2055
0;239;39013;2037
0;240;39050;2044
0;241;37630;1934
0;242;37244;1888
0;243;37121;1878
0;244;37121;1878
0;245;36995;1863
0;246;36995;1863
0;247;36984;1865
0;248;36984;1865
0;249;36984;1865
0;250;36984;1865
0;251;36984;1865
0;252;36732;1842
0;253;36787;1856
0;254;36787;1856
0;255;36670;1840
0;256;36670;1840
0;257;36580;1831
0;258;36625;1835
0;259;36580;1831
0;260;36670;1840
0;261;36670;1840
0;262;37346;1891
0;263;37582;1976
0;264;37065;1882
0;265;40743;2119
0;266;41219;2187
0;267;39650;2060
0;268;37683;1930
0;269;37951;1920
0;270;37951;1920
0;271;37951;1920
0;272;38012;1931
0;273;38012;1931
0;274;40889;2133
0;275;40889;2133
0;276;40889;2133
0;277;40889;2133
0;278;36626;1834
0;279;36626;1834
0;280;36626;1834
0;281;36626;1834
0;282;36626;1834
0;283;36626;1834
0;284;36626;1834
0;285;40234;2044
0;286;40234;2044
0;287;40234;2044
0;288;40234;2044
0;289;40234;2044
0;290;40234;2044
0;291;40449;2083
0;292;40234;2044
0;293;40449;2083
0;294;43202;2270
0;295;43259;2275
0;296;43259;2275
0;297;42890;2245
0;298;42453;2226
0;299;42453;2226
0;300;42401;2220
0;301;42453;2226
0;302;42453;2226
0;303;42453;2226
0;304;42453;2226
0;305;42453;2226
0;306;42411;2218
0;307;42422;2220
0;308;38449;1935
0;309;38449;1935
0;310;42214;2198
0;311;42222;2199
0;312;42214;2198
0;313;42214;2198
0;314;42148;2190
0;315;42148;2190
0;316;42963;2232
0;317;42838;2222
0;318;42838;2222
